company_name,attack,year_attack,Size_of_Group_Composition,BvD_independent_indicator,Number_of_shareholders,Number_of_effective_beneficiaries_def_10_10,Number_of_effective_beneficiaries_def_10_50,Number_of_effective_beneficiaries_def_25_25,Number_of_leaders,Number_of_current_leaders,Number_of_Previous_Leader,DM_As_any_category,Manager_Gender,Manager_Age,Manager_Age_group,Director_Also_shareholder,Manager_Number_of_companies_in_which_a_function_is_held,diffmoy_Price_earnings_per_share_average,diffmoy_Average_share_return,diffmoy_Capitalization_Equity,diffmoy_Capitalization_Total_balance_sheet_Tobins_Q,diffmoy_Equity_per_share_EUR,diffmoy_Bankruptcy_probability,diffmoy_Debt_coefficient,diffmoy_Solvency,diffmoy_Returns_invested_capital,diffmoy_Returns_net_equity,diffmoy_ROA_from_profit_before_taxes,diffmoy_ROCE_from_net_income1,diffmoy_R&D_expenditure_Operating_income,diffmoy_Performance
1000MERCIS,0,,8,B+,16,3,3,2,14,12,4,Oui,F,47,46 - 55,Oui,6,-7.240984234,-6.873752252,-0.820606707,-0.241887538,-90.68342759,-0.773921201,1.805970149,2.833688699,19.70787368,22.18231974,10.75239098,17.19676012,-2.130997054,10.6349096
2CRSI,0,,2,D,17,1,1,1,10,8,7,Non,H,49,46 - 55,Oui,10,,,,,,,,,16.84287368,38.42931974,4.496390977,19.73776012,-2.130997054,-2.848090395
A S T GROUPE,0,,17,A+,10,3,3,0,18,9,9,Non,H,61,56 - 65,Oui,10,-16.21198423,-2.185752252,-1.222606707,-0.983887538,-106.6144276,0.226078799,1.805970149,1.833688699,29.71787368,32.15031974,9.710390977,20.98376012,-2.130997054,1.102909605
A TOUTE VITESSE,0,,2,D,1,1,1,1,14,8,9,Oui,H,54,46 - 55,Oui,17,,,,,,,,,,,,,,
A2MICILE EUROPE,0,,85,B+,6,3,3,2,8,8,0,Non,H,66,66 - 75,Oui,39,,,,,,3.226078799,-2.194029851,-1.166311301,24.21787368,40.58731974,8.750390977,14.79276012,-2.130997054,-2.046090395
AAA ACTIONS AGRO ALIMENTAIRE,0,,,D,4,0,0,0,3,2,1,Non,F,53,46 - 55,Non,2,,,,,,,,,,,,,,
AB SCIENCE,0,,2,B+,13,1,1,1,28,20,9,Oui,H,54,46 - 55,Oui,3,,,-113.7636067,12.07611246,-108.9644276,2.226078799,-3.194029851,-4.166311301,-146.5901263,,-71.17560902,-145.2322399,,
ABC ARBITRAGE SA,0,,5,A+,15,1,1,0,26,20,12,Oui,H,52,46 - 55,Oui,6,-16.05798423,,-0.603606707,0.918112462,-106.1164276,-1.773921201,,,,25.20831974,19.97239098,,,51.5609096
ABEO,0,,62,D,20,1,1,1,20,14,9,Oui,H,60,56 - 65,Oui,28,-11.77698423,-5.486752252,-0.319606707,-0.455887538,-99.21142759,3.226078799,-3.194029851,-4.166311301,20.18887368,25.54431974,9.351390977,18.77076012,-2.130997054,2.608909605
ABIONYX PHARMA,0,,5,A+,20,0,0,0,22,16,18,Non,H,51,46 - 55,Non,6,,,7.569393293,3.830112462,-108.0404276,0.226078799,1.805970149,1.833688699,-97.42212632,-164.1566803,-83.87160902,-96.09823988,,
ABIVAX,0,,0,C+,26,0,0,0,36,28,27,Oui,H,62,56 - 65,Non,25,,,,,,-0.773921201,,,,,,,,
