nom_entreprise,attaque,Taille.de.la.Composition.du.Groupe,Indic..d.indép..BvD,Nombre.d.actionnaires,Nombre.de.bénéficiaires.effectifs..déf.10..10..,Nombre.de.bénéficiaires.effectifs..déf.10..50..,Nombre.de.bénéficiaires.effectifs..déf.25..25..,Nombre.de.dirigeants,Nombre.de.dirigeants.actuels,Nombre.de.dirigeants.précédents,DM..As.any.category,Dirigeant..Sexe,Dirigeant..Age,Dirigeant..Tranche.d.âge,Dirigeant..Aussi.actionnaire,Dirigeant..Nombre.d.entreprises.dans.lesquelles.une.fonction.est.exercée,diffmoy_Cours...bénéfice.par.action...moyenne,diffmoy_Capitalisation...Capitaux.propres,diffmoy_Capitalisation...Total.du.bilan..Tobin.s.Q,diffmoy_Capitaux.propres.par.action..EUR,diffmoy_Probabilité.de.faillite,diffmoy_Coefficient.d.endettement,diffmoy_Solvabilité,diffmoy_Rend..du.capital.investi,diffmoy_Rend..des.capitaux.propres.nets,diffmoy_ROA.à.partir.du.résultat.av..impôts,diffmoy_ROCE.à.partir.du.revenu.net1,diffmoy_Dépenses.de.R.D...Produit.d.exploitation,diffmoy_Performance
ALES GROUPE,1,29,D,10,4,4,1,37,23,27,Non,H,90,> 75,Oui,3,,-1.125606707,-0.883887538,-103.1884276,4.226078799,-3.194029851,-3.166311301,11.63487368,9.457319737,2.854390977,11.50576012,0.033002946,-3.585090395
ALTICE FRANCE S.A.,1,504,D,1,1,1,1,45,16,32,Non,H,59,56 - 65,Non,51,,,,,-0.773921201,-3.194029851,-4.166311301,11.43787368,1.603319737,1.197390977,12.52776012,-2.130997054,-6.193090395
ALTRAN TECHNOLOGIES,1,398,D,13,0,0,0,61,25,44,Oui,H,59,56 - 65,Non,34,,,,,-0.773921201,-3.194029851,-4.166311301,23.27687368,26.31831974,9.444390977,20.41876012,-2.130997054,3.197909605
CASINO GUICHARD-PERRACHON,1,1590,D,64,1,1,1,76,43,45,Oui,H,59,56 - 65,Non,10,-25.94598423,-2.893606707,-1.484887538,21.25357241,-1.773921201,-3.194029851,-2.166311301,18.75187368,21.68531974,7.064390977,21.78376012,-2.130997054,0.128909605
COMPAGNIE DES ALPES,1,87,B+,22,0,0,0,54,25,39,Oui,H,64,56 - 65,Non,64,-16.16498423,-2.730606707,-1.329887538,-75.70842759,-1.773921201,-0.194029851,0.833688699,13.28887368,12.78531974,5.286390977,12.91976012,-2.130997054,2.707909605
DANONE,1,445,A+,88,0,0,0,59,34,45,Oui,H,56,56 - 65,Non,146,-3.395984234,-0.250606707,-0.706887538,-88.72442759,-2.773921201,-3.194029851,-4.166311301,16.22087368,26.04331974,7.699390977,14.91476012,-0.619997054,7.207909605
LAGARDERE SCA,1,678,A+,55,5,3,0,44,32,31,Oui,H,59,56 - 65,Non,118,-10.71298423,-1.542606707,-1.158887538,-93.32142759,-1.773921201,-3.194029851,-4.166311301,16.02687368,19.13231974,5.133390977,15.01976012,-2.130997054,-1.277090395
PERNOD RICARD,1,410,B+,102,1,1,1,82,64,30,Oui,H,53,46 - 55,Non,4,-6.345984234,-1.276606707,-0.736887538,-57.95542759,-0.773921201,-3.194029851,-4.166311301,15.65387368,18.42331974,7.150390977,15.28576012,-2.130997054,14.4269096
SCOR SE,1,127,A+,77,0,0,0,80,38,62,Oui,H,68,66 - 75,Non,91,-18.45998423,-2.294606707,-1.458887538,-74.24242759,-1.773921201,,,,17.70031974,3.498390977,,,0.855909605
XPO LOGISTICS EUROPE,1,596,D,5,0,0,0,40,28,24,Non,H,71,66 - 75,Non,2,-5.131984234,-0.677606707,-1.023887538,-28.94342759,1.226078799,-3.194029851,-4.166311301,18.47187368,23.64531974,5.688390977,16.95076012,-2.130997054,-2.199090395
